id,owner_id,business_name,opening_cash,opening_float,onboarding_completed,onboarding_completed_at,created_at,updated_at
1,1,AMSA,100000.00,100000.00,t,2026-08-08 13:33:18.536562+03,2026-08-08 13:33:18.519215+03,2026-08-08 13:33:18.519215+03
2,2,amsa,100000.00,1000000.00,t,2026-08-08 14:41:12.190666+03,2026-08-08 14:41:12.137642+03,2026-08-08 14:41:12.137642+03
3,3,TASLAM ENERGY SOLUTIONS LTD,384660.00,115166.00,t,2026-08-08 17:03:00.545849+03,2026-08-08 17:03:00.471248+03,2026-08-08 17:03:00.471248+03
